Series Name,Country Name,Time,Value
"Inflation, consumer prices (annual %)",Canada,2000,2.719439957
"Inflation, consumer prices (annual %)",Canada,2001,2.52512014
"Inflation, consumer prices (annual %)",Canada,2002,2.258394409
"Inflation, consumer prices (annual %)",Canada,2003,2.758563214
"Inflation, consumer prices (annual %)",Canada,2004,1.857258719
"Inflation, consumer prices (annual %)",Canada,2005,2.213552034
"Inflation, consumer prices (annual %)",Canada,2006,2.002025395
"Inflation, consumer prices (annual %)",Canada,2007,2.138383993
"Inflation, consumer prices (annual %)",Canada,2008,2.370270674
"Inflation, consumer prices (annual %)",Canada,2009,0.299466803
"Inflation, consumer prices (annual %)",Canada,2010,1.776871541
"Inflation, consumer prices (annual %)",Canada,2011,2.912135089
"Inflation, consumer prices (annual %)",Canada,2012,1.515678231
"Inflation, consumer prices (annual %)",Canada,2013,0.938291898
"Inflation, consumer prices (annual %)",Canada,2014,1.906635907
"Inflation, consumer prices (annual %)",Canada,2015,1.125241361
"Inflation, consumer prices (annual %)",Canada,2016,1.428759547
"Inflation, consumer prices (annual %)",Canada,2017,1.596884129
"Inflation, consumer prices (annual %)",Canada,2018,2.268225672
"Inflation, consumer prices (annual %)",Canada,2019,1.949269024
"Inflation, consumer prices (annual %)",Canada,2020,0.716999632
"Inflation, consumer prices (annual %)",China,2000,0.347811227
"Inflation, consumer prices (annual %)",China,2001,0.719125609
"Inflation, consumer prices (annual %)",China,2002,-0.731970902
"Inflation, consumer prices (annual %)",China,2003,1.127603487
"Inflation, consumer prices (annual %)",China,2004,3.824637431
"Inflation, consumer prices (annual %)",China,2005,1.776414077
"Inflation, consumer prices (annual %)",China,2006,1.649430995
"Inflation, consumer prices (annual %)",China,2007,4.816767674
"Inflation, consumer prices (annual %)",China,2008,5.92525137
"Inflation, consumer prices (annual %)",China,2009,-0.728165251
"Inflation, consumer prices (annual %)",China,2010,3.175324753
"Inflation, consumer prices (annual %)",China,2011,5.553898923
"Inflation, consumer prices (annual %)",China,2012,2.619524326
"Inflation, consumer prices (annual %)",China,2013,2.621050017
"Inflation, consumer prices (annual %)",China,2014,1.921641628
"Inflation, consumer prices (annual %)",China,2015,1.437023809
"Inflation, consumer prices (annual %)",China,2016,2.000001822
"Inflation, consumer prices (annual %)",China,2017,1.593136001
"Inflation, consumer prices (annual %)",China,2018,2.0747904
"Inflation, consumer prices (annual %)",China,2019,2.899234164
"Inflation, consumer prices (annual %)",China,2020,2.419421895
"Inflation, consumer prices (annual %)",European Union,2000,3.15076707
"Inflation, consumer prices (annual %)",European Union,2001,3.373968322
"Inflation, consumer prices (annual %)",European Union,2002,2.424436612
"Inflation, consumer prices (annual %)",European Union,2003,2.09199839
"Inflation, consumer prices (annual %)",European Union,2004,2.286217068
"Inflation, consumer prices (annual %)",European Union,2005,2.487696652
"Inflation, consumer prices (annual %)",European Union,2006,2.666314946
"Inflation, consumer prices (annual %)",European Union,2007,2.510665652
"Inflation, consumer prices (annual %)",European Union,2008,4.164971935
"Inflation, consumer prices (annual %)",European Union,2009,0.839262247
"Inflation, consumer prices (annual %)",European Union,2010,1.531122704
"Inflation, consumer prices (annual %)",European Union,2011,3.289449396
"Inflation, consumer prices (annual %)",European Union,2012,2.662841655
"Inflation, consumer prices (annual %)",European Union,2013,1.219993423
"Inflation, consumer prices (annual %)",European Union,2014,0.199343827
"Inflation, consumer prices (annual %)",European Union,2015,-0.06164468
"Inflation, consumer prices (annual %)",European Union,2016,0.183334861
"Inflation, consumer prices (annual %)",European Union,2017,1.429107433
"Inflation, consumer prices (annual %)",European Union,2018,1.73860862
"Inflation, consumer prices (annual %)",European Union,2019,1.630522608
"Inflation, consumer prices (annual %)",European Union,2020,0.476498853
"Inflation, consumer prices (annual %)",United States,2000,3.376857271
"Inflation, consumer prices (annual %)",United States,2001,2.826171119
"Inflation, consumer prices (annual %)",United States,2002,1.586031627
"Inflation, consumer prices (annual %)",United States,2003,2.270094973
"Inflation, consumer prices (annual %)",United States,2004,2.677236693
"Inflation, consumer prices (annual %)",United States,2005,3.392746845
"Inflation, consumer prices (annual %)",United States,2006,3.225944101
"Inflation, consumer prices (annual %)",United States,2007,2.852672482
"Inflation, consumer prices (annual %)",United States,2008,3.839100297
"Inflation, consumer prices (annual %)",United States,2009,-0.355546266
"Inflation, consumer prices (annual %)",United States,2010,1.640043442
"Inflation, consumer prices (annual %)",United States,2011,3.156841569
"Inflation, consumer prices (annual %)",United States,2012,2.069337265
"Inflation, consumer prices (annual %)",United States,2013,1.464832656
"Inflation, consumer prices (annual %)",United States,2014,1.622222977
"Inflation, consumer prices (annual %)",United States,2015,0.118627136
"Inflation, consumer prices (annual %)",United States,2016,1.261583206
"Inflation, consumer prices (annual %)",United States,2017,2.130110004
"Inflation, consumer prices (annual %)",United States,2018,2.442583297
"Inflation, consumer prices (annual %)",United States,2019,1.812210075
"Inflation, consumer prices (annual %)",United States,2020,1.233584396
"Inflation, consumer prices (annual %)",Russian Federation,2000,20.79876066
"Inflation, consumer prices (annual %)",Russian Federation,2001,21.47700721
"Inflation, consumer prices (annual %)",Russian Federation,2002,15.78873079
"Inflation, consumer prices (annual %)",Russian Federation,2003,13.66329302
"Inflation, consumer prices (annual %)",Russian Federation,2004,10.88861573
"Inflation, consumer prices (annual %)",Russian Federation,2005,12.68530395
"Inflation, consumer prices (annual %)",Russian Federation,2006,9.668654548
"Inflation, consumer prices (annual %)",Russian Federation,2007,9.007298689
"Inflation, consumer prices (annual %)",Russian Federation,2008,14.11076778
"Inflation, consumer prices (annual %)",Russian Federation,2009,11.64732958
"Inflation, consumer prices (annual %)",Russian Federation,2010,6.849392303
"Inflation, consumer prices (annual %)",Russian Federation,2011,8.440464859
"Inflation, consumer prices (annual %)",Russian Federation,2012,5.074743008
"Inflation, consumer prices (annual %)",Russian Federation,2013,6.753710262
"Inflation, consumer prices (annual %)",Russian Federation,2014,7.823411839
"Inflation, consumer prices (annual %)",Russian Federation,2015,15.53440505
"Inflation, consumer prices (annual %)",Russian Federation,2016,7.04244763
"Inflation, consumer prices (annual %)",Russian Federation,2017,3.683329444
"Inflation, consumer prices (annual %)",Russian Federation,2018,2.878297236
"Inflation, consumer prices (annual %)",Russian Federation,2019,4.470366608
"Inflation, consumer prices (annual %)",Russian Federation,2020,3.381659372
,,,
,,,
,,,
Data from database: World Development Indicators,,,
Last Updated: 01/28/2025,,,
